iter	MAE	RMSE
675	0.2597782896	0.3939944993
676	0.2597277315	0.3939311242
677	0.2596647221	0.3938062304
678	0.2596358064	0.3937753324
679	0.2595675558	0.3936600186
680	0.2595319273	0.3935847037
681	0.2594742984	0.3935021787
682	0.2594348572	0.3934507477
683	0.2594113456	0.3933986051
684	0.2593584159	0.3933016842
685	0.2593227756	0.3932294527
686	0.2592781104	0.3931436588
687	0.2591320286	0.3929769446
688	0.259040709	0.3928388991
689	0.2589815103	0.3927455971
690	0.2589453848	0.3926940225
691	0.2588617907	0.3925735772
692	0.2587993728	0.3924510941
693	0.2587520097	0.3923699755
694	0.2586210181	0.3922193394
695	0.2585811408	0.3921537536
696	0.2584914571	0.3920341397
697	0.2584652061	0.391970866
698	0.2584274751	0.3919028958
699	0.2584084061	0.3918706731
700	0.2583847772	0.3918241752
701	0.2581849124	0.3916245783
702	0.2581657715	0.3915926989
703	0.2581065299	0.3915115192
704	0.2579787437	0.3913900234
705	0.2578124565	0.3912163452
706	0.2577960796	0.391189303
707	0.2577346496	0.3910820292
708	0.2576755489	0.390965894
709	0.257603736	0.3908836372
710	0.2575045853	0.3907467561
711	0.2574361425	0.3906661121
712	0.2572904821	0.3905293606
713	0.257237552	0.3904551979
714	0.2572092723	0.3903925511
715	0.2571850727	0.3903725928
716	0.2571310378	0.3902750482
717	0.2570044259	0.3901192709
718	0.2569294946	0.3899831157
719	0.2568896083	0.3899467113
720	0.2568016197	0.3898555228
721	0.2567610793	0.3897888672
722	0.2566490565	0.3895941472
723	0.2565790475	0.3895051133
724	0.2564657606	0.389369226
725	0.2563930052	0.3892584327
726	0.2562851937	0.3891228956
727	0.2561837031	0.3889529775
728	0.2561213857	0.3888406716
729	0.2560736468	0.3887779084
730	0.2560317664	0.3886948765
731	0.2559659681	0.3885870992
732	0.2559379841	0.3885443093
733	0.2558936852	0.3884809671
734	0.2558152379	0.3883747812
735	0.2558014089	0.3883437047
736	0.255770179	0.3883046724
737	0.2556421155	0.3881838587
738	0.2556089414	0.3881309548
739	0.2555750207	0.3880857404
740	0.2555440303	0.3880448285
741	0.2554851788	0.387988597
742	0.2554194591	0.3878870862
743	0.2553668214	0.3878050871
744	0.2552897296	0.3876708188
745	0.2552611299	0.3876137692
746	0.2551747016	0.3874986603
747	0.2550797418	0.3874170275
748	0.2550108385	0.3873189398
749	0.2549612071	0.387265315
750	0.2549212017	0.3872067418
751	0.2549177419	0.3871965845
752	0.2548190745	0.3870466467
753	0.254778031	0.3869935821
754	0.2547232664	0.3869094588
755	0.2546173371	0.3867764119
756	0.2545999848	0.3867415714
757	0.2545602313	0.3866834284
758	0.2545118671	0.3866250787
759	0.2544682927	0.3865697771
760	0.2544315706	0.3865055847
761	0.2543918922	0.3864374104
762	0.254384549	0.3864223391
763	0.2543706663	0.3863928704
764	0.2542804797	0.3862563937
765	0.2542028148	0.3861460633
766	0.2541282402	0.3860543287
