make,model,annual_dep_rate
CADILLAC,ESCALADE ESV,0.1438694130244535
CADILLAC,FLAT WOOD,0.1346695538846248
CADILLAC,FLEETWOOD,0.1346695538846248
CADILLAC,IQ,0.1346695538846248
CADILLAC,KUN CROUS,0.1346695538846248
CADILLAC,LYRIQ,0.0960513237553085
CADILLAC,SLS,0.1346695538846248
CADILLAC,SRX,0.169962542747653
CADILLAC,STS,0.1640477630101791
CADILLAC,STS-V,0.1346695538846248
CADILLAC,XLR,0.1346695538846248
CADILLAC,XT 5,0.1346695538846248
CADILLAC,XT4,0.1931421968638976
CADILLAC,XT5,0.1035742211830629
CADILLAC,XT6,0.0598144408309503
CADILLAC,XTS,0.1496173600315088
CATERHAM,SEVEN,0.1195580092498166
CFMOTO,450SR,0.1195580092498166
CHANGAN,2022,0.0436453017753286
CHANGAN,ALSVIN,0.0950058343335027
CHANGAN,BENBEN E STAR,0.0676735432450816
CHANGAN,CHANGAN,-6.395424781059422
CHANGAN,CHANGAN EADO,0.0436453017753286
CHANGAN,CS 95,0.0436453017753286
CHANGAN,CS35,0.1746666785038069
CHANGAN,CS35 PLUS,0.073278197128457
CHANGAN,CS55 PLUS,0.0436453017753286
CHANGAN,CS55 PLUSE,0.0436453017753286
CHANGAN,CS75,0.0983827333520803
CHANGAN,CS75 PLUS,0.0737876178353886
CHANGAN,CS85,0.1363119821204691
CHANGAN,CS95,0.1202732035016082
CHANGAN,DEEPAL,-0.0729821810587365
CHANGAN,DEEPAL S09,0.0436453017753286
CHANGAN,EADO,0.2091746035578636
CHANGAN,EADO PLUS,0.1040928579884015
CHANGAN,FAIRUZA,0.0436453017753286
CHANGAN,G318,0.0436453017753286
CHANGAN,HAOLV R,0.0436453017753286
CHANGAN,QIYUAN,0.0436453017753286
CHANGAN,QIYUAN Q05,0.0436453017753286
CHANGAN,QNE 07/SEDAN,0.0436453017753286
CHANGAN,ROCKY,0.072
CHANGAN,RV Motor Home,0.0436453017753286
CHANGAN,S07,0.0436453017753286
CHANGAN,UNI K,0.0568735543227755
CHANGAN,UNI Y,0.0436453017753286
CHANGAN,UNI-K,0.1067313526058166
CHANGAN,UNI-S,0.0436453017753286
CHANGAN,UNI-T,0.0572593307964695
CHANGAN,UNI-V,0.1039835446431425
CHANGAN,UNIT,0.0436453017753286
