model_slug,model_name,year,trim_name,price_aed,url,scraped_at
toyota-avalon,Avalon,2014,2014 Dodge Charger,110000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2014/,2026-06-11T12:41:39Z
toyota-avalon,Avalon,2015,Original Starting Price,119000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-11T12:41:41Z
toyota-avalon,Avalon,2015,Unknown,119000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-11T12:41:41Z
toyota-avalon,Avalon,2015,Unknown,134000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-11T12:41:41Z
toyota-avalon,Avalon,2015,SE Plus,149000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-11T12:41:41Z
toyota-avalon,Avalon,2015,Grande,154000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-11T12:41:41Z
toyota-avalon,Avalon,2015,2015 Dodge Charger,120000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-11T12:41:41Z
toyota-avalon,Avalon,2015,2015 Hyundai Azera,111000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-11T12:41:41Z
toyota-avalon,Avalon,2015,2015 Ford Taurus,98000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2015/,2026-06-11T12:41:41Z
toyota-avalon,Avalon,2016,Original Starting Price,119000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-11T12:41:43Z
toyota-avalon,Avalon,2016,Unknown,119000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-11T12:41:43Z
toyota-avalon,Avalon,2016,Unknown,134000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-11T12:41:43Z
toyota-avalon,Avalon,2016,SE Plus,149000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-11T12:41:43Z
toyota-avalon,Avalon,2016,Grande,154000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-11T12:41:43Z
toyota-avalon,Avalon,2016,2016 Chevrolet Impala,109600,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-11T12:41:43Z
toyota-avalon,Avalon,2016,2016 Hyundai Azera,111000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-11T12:41:43Z
