=== CARS MISSING DEPRECIATION VALUES ===
Make                 | Model                          | Chassis/VIN         
NISSAN               | PATROL                         | JN1TANY62Z0171500   
NISSAN               | PATROL                         | JN1URGY60Z0026409   
NISSAN               | PATROL                         | JN8BY2NY8H9007012   
NISSAN               | PATROL                         | JN8AY2NY9K9367845   
NISSAN               | PATROL                         | JN10WGY60Z0853505   
NISSAN               | PATROL                         | JN8BY3NY459000216   
NISSAN               | PATROL                         | JN8BY2NY6K9184469   
NISSAN               | PATROL                         | JN1TANY62Z0170449   
NISSAN               | PATROL                         | JN8AY2NY7F9116036   
NISSAN               | PATROL                         | JN8FY1NY4KX033198   
NISSAN               | PATROL                         | JN8AY2NY1G9219129   
NISSAN               | PATROL                         | WGY60800678          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8FY15Y8AX580358   
NISSAN               | PATROL                         | JN8FY15Y64X522799   
NISSAN               | PATROL                         | JN1TBSY61Z0402854   
NISSAN               | PATROL                         | JN8AY2NY8E9062969   
NISSAN               | PATROL                         | JN8AY3NY7S9013005   
NISSAN               | PATROL                         | JN8AY2NYOM9422184   
NISSAN               | PATROL                         | JN8AY2NY0M9422184   
NISSAN               | PATROL                         | WGY60381482          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8AY2NY5G9141423   
NISSAN               | PATROL                         | JN8AY25Y5B9010257   
NISSAN               | PATROL                         | JN8FY15Y09X574159   
NISSAN               | PATROL                         | JN1TBSY61Z0404375   
NISSAN               | PATROL                         | JN8FY15Y06X552321   
NISSAN               | PATROL                         | JN8AY3NY2T9115216   
NISSAN               | PATROL                         | JN8FY1NY9LX034784   
NISSAN               | PATROL                         | JN10WGY60Z0852507   
NISSAN               | PATROL                         | JN10WGY60Z0853505   
NISSAN               | PATROL                         | JN8BY15Y67X511028   
NISSAN               | PATROL                         | JN8BY14Y69X538671   
NISSAN               | PATROL                         | JN100KY60Z0860255   
NISSAN               | PATROL                         | JN8BY2NY6H9000284   
NISSAN               | PATROL                         | JN8AY2NY9N9445836   
NISSAN               | PATROL                         | JN8FY1NY1EX002978   
